x_m,y_m,w_tr_right_m,w_tr_left_m
89630.864427752,43199.39572188148,3.7926082721467536,3.7450330258239886
89630.94207051452,43199.34650757727,3.7927830038089088,3.748994394488642
89631.02094636341,43199.29944173329,3.7926824988032344,3.75759579665106
89631.10102849534,43199.25464152768,3.791779926282219,3.77080431735611
89631.18228991816,43199.21222345539,3.789345862608987,3.774156537425226
89631.26466910535,43199.17217910384,3.7845928457262845,3.7612522533902397
89631.34803002569,43199.13423058337,3.77687772540132,3.7527556842629943
89631.43222694998,43199.09806492793,3.775268108346433,3.747938592334535
89631.51711414913,43199.06336917147,3.773891475840922,3.746031143688997
89631.60254589398,43199.02983034796,3.7720945768794167,3.7462723751029214
89631.68837645538,43198.99713549136,3.769858021278539,3.7479556372817484
89631.77446010422,43198.96497163561,3.7672489930881596,3.7504602002884555
89631.86065111133,43198.933025814695,3.7644351089196375,3.753263638808797
89631.9468037476,43198.90098506255,3.7616769058537556,3.7559343450245866
89632.0327722839,43198.868536413145,3.7593039996725754,3.7581084213199722
89632.11841183377,43198.8353687331,3.7576816886946025,3.7594610944919014
89632.2036574,43198.801344619795,3.7569930204711994,3.7598673116703827
89632.28858849085,43198.766640919326,3.7570659415452967,3.759538142348666
89632.3732998215,43198.73146754742,3.7576783099511015,3.7587076485424458
89632.45788610709,43198.6960344198,3.758602547422467,3.7576050698541565
89632.54244206283,43198.6605514522,3.7596207357578812,3.75647010627657
89632.62706240386,43198.625228560384,3.760539507200978,3.7540683576139573
89632.71184184536,43198.59027566008,3.7611991089094916,3.739948795159496
89632.79687510253,43198.555902667,3.761474057051039,3.725880141766601
89632.8822568905,43198.52231949689,3.7612660091199444,3.7122620183402852
89632.96808165847,43198.48973571185,3.7604921474784736,3.6995321446229124
89633.0544083342,43198.458313651485,3.759128629219869,3.688087652952861
89633.14122498834,43198.428121456986,3.757256099736854,3.678210763026743
89633.22851128336,43198.39921609166,3.754950952655813,3.6701521108973036
89633.31624688172,43198.37165451881,3.752265846780277,3.6641364357258253
89633.4044114459,43198.34549370174,3.749223602173674,3.6603592680873995
89633.49298463833,43198.32079060373,3.745807707756828,3.6589841069992883
89633.58194612146,43198.29760218809,3.7419467563897064,3.660136397189204
89633.67127555779,43198.275985418135,3.737492154769955,3.663891810308056
89633.76095260977,43198.25599725715,3.732191865885038,3.67025887894849
89633.85095693984,43198.23769466844,3.7256669607801873,3.6791595465551556
89633.9412682105,43198.2211346153,3.71740126456476,3.6904147403153655
89634.0318660842,43198.20637406102,3.7067552758734106,3.7037440827423223
89634.12272428343,43198.19340892372,3.699804565692619,3.7021729062985873
89634.21378377652,43198.181898505034,3.6919098651065476,3.7009366148500202
89634.30497430306,43198.17138670794,3.6821906479769795,3.7011732183041826
89634.39622559256,43198.161417332594,3.67084781714931,3.7022631933042036
89634.48746737458,43198.15153417919,3.6582427330408036,3.7036716639829814
89634.5786293787,43198.14128104789,3.6449167361967802,3.7049630514730065
89634.66964133442,43198.13020173885,3.631571717120627,3.7057869432143824
89634.76043297135,43198.11784005226,3.6190166082918926,3.7058379432481603
89634.8509351975,43198.10374785877,3.6080868239414015,3.704809594318246
