idx,ub,lb
0,1.0975439505424918,-1.1735558097843777
1,1.0255527085236729,-0.9948683323720944
2,0.9956739410831439,-0.8196324448773611
3,1.3987931159958669,-0.8877262704197888
4,1.4729177374190137,-1.2740691908886441
5,1.3053646141576576,-1.413037127028435
6,1.25135813923982,-1.6365031015581624
7,1.384391585050967,-1.779027869820685
8,1.5367359907740628,-2.112316496181974
9,1.5919762869437437,-2.2336730602137815
10,1.6521139233145838,-2.237013444322563
11,2.11772693789496,-2.297564985864914
12,2.3975403129584527,-2.585433332009231
13,2.4823616167117946,-2.755418355416142
14,2.7180042289483346,-2.771279658615512
15,2.625031704053743,-2.942483504413311
16,2.54229660849969,-2.8774335528724135
17,2.5948192376593813,-2.7578458232425613
18,2.7807820379523394,-2.8145355442500595
19,2.6715221537722993,-2.5670654774733386
20,2.485781027205878,-2.624568059757783
21,2.590164919343822,-2.319817723133155
22,2.5009777674068543,-2.592054623729846
23,2.414836881153523,-2.4251541312397658
24,2.4056679310123776,-2.5194137853318885
25,2.3885106290720453,-2.5070267293667516
26,2.471742276887377,-2.514069533546573
27,2.195902014856274,-2.7773887379927693
28,2.227329863849382,-2.7283948741319226
29,2.422800611101851,-2.6911225500826617
30,2.8841170754929686,-2.6317359680985533
31,2.95067216945763,-2.7236926596385604
32,3.274796820162325,-2.830531967047664
33,3.5190451293318112,-2.698650097344509
34,3.6185526103571752,-2.7724492922242754
35,3.672222609245419,-3.1498754192501917
36,3.8196064757493664,-3.1699998993943943
37,3.8794345357531084,-3.4322730061939457
38,3.580246329763278,-3.9082323330259587
39,3.0388855518411226,-4.426520834950286
40,2.8282439034191307,-4.8818200328181085
41,2.3309599311369062,-5.091379618383169
42,1.6695497405765904,-5.530818345490504
43,1.460096218865516,-5.526226739907443
44,1.465072989478629,-5.5013937554656795
45,0.6565781986704329,-4.96464196504193
46,0.9568029549211821,-4.2630643858699635
47,0.794945823662027,-4.8412802080031
48,0.679326249587935,-3.479141510957462
49,0.5,-3.641781470157939
50,0.5,-1.8608159044168218
51,0.5,-1.3588073398767624
52,0.5,-1.369932215480116
53,0.5,-1.0966374752729653
54,0.5,-0.7672588891632357
55,0.5,-1.4984657260466312
56,0.5545004809910759,-1.8075299441824266
57,1.1184285363676771,-1.845004247179222
58,1.3873262213205164,-2.1767464690614204
59,2.0509135310181428,-2.402848477062389
60,2.3253446478796063,-2.6323695163609875
61,2.9571363895766236,-2.6325813353225618
62,3.6777915040148312,-2.6862303084159427
63,3.7793611900626374,-3.074479984503822
64,3.909667040410599,-3.190737610216567
65,4.110735931291996,-3.4678360127969907
66,4.055187403715091,-3.590667473920458
67,3.8890764524144616,-3.4967448011310713
68,3.8121790561427704,-3.5657124785551355
69,3.923153586072098,-3.4244020267229205
70,3.750217298807558,-3.616410895998958
71,3.4856730593059084,-3.773744663496417
72,3.3365131792916034,-3.589800813623164
73,3.272213536028973,-3.6443615446671993
74,3.134335382765019,-3.4224260851924058
75,2.826006680970525,-3.397037410311553
76,2.847604080473984,-2.5900779450324602
77,2.886051453304291,-2.2223565858605916
78,2.653821648534708,-2.2741432864537092
79,2.3099696996617336,-2.00388541032381
80,2.298269456419279,-1.4356836946881277
81,1.9709500072130268,-1.135340912128176
82,1.4830371871495704,-0.8043779116864906
83,1.1390957622397555,-0.5
84,1.4170254589649716,-0.5
85,0.5349780237281345,-0.5
86,1.0136384015026225,-0.5
87,1.6830789687553225,-0.5
88,2.7875145415624853,-0.647150168816006
89,4.1095197051173695,-0.5
90,4.5992139615387355,-0.9292437296736373
91,4.821458635257184,-0.790230791975617
92,5.349275396161965,-0.9936317391146465
93,5.083752815279436,-1.220353201420691
94,5.463083466134589,-1.5044163151938181
95,5.405297583105172,-1.7213439783919942
96,4.630632522190532,-2.0404956846349105
97,4.723572358351172,-2.431500684180324
98,4.30089119757883,-3.1688187775685686
99,3.60039762108228,-3.604912840677159
100,3.403426265929334,-3.669710583159369
101,3.0383417840985216,-3.7792984090352832
102,3.091495557470794,-3.2255433204831045
103,2.7022772509752726,-3.1557176388628765
104,2.686273776233044,-2.7809100064077112
105,2.8021985010351727,-2.57687099420163
106,2.578824769853923,-2.5244404144356056
107,2.6018247261330405,-2.494453706502906
108,2.568454871141073,-2.4581921251572707
109,2.6442068645487193,-2.4439435995798435
110,2.4581958904531236,-2.6193800176249837
111,2.671896810859334,-2.436806279257717
112,2.656159661141113,-2.619769295899621
113,2.5743130289217926,-2.451453627737343
114,2.768486328573046,-2.4712462638489114
115,2.6997660976119477,-2.6148794189613414
116,2.5749298585042593,-2.6490137647329997
117,2.675189324951784,-2.614851614743815
118,2.8180313108981845,-2.6384384323037264
119,2.663221361542861,-2.583601706523911
120,2.582737436401886,-2.48323568409449
121,2.563946482490022,-2.4776681185578457
122,2.58333208637342,-2.4481052186586716
123,2.592430356315889,-2.296074136941283
124,2.7794541158126673,-1.9694863103820945
125,2.4894775891757686,-2.0136521027594707
126,2.4323833988569876,-1.7763953139000934
127,2.204977055600343,-1.624427470518197
128,1.9467940118674194,-1.3668946227878815
129,1.1097139744355415,-1.3615486454142536
130,0.6886692277931652,-0.5092060470738318
131,0.7426815679737273,-0.5
132,3.261066281339483,-0.8296283667140878
133,3.7082841186148157,-1.3108701733719335
134,4.43264904843966,-1.449321920435585
135,4.061588018289369,-2.477542446768736
136,3.1803185628761708,-3.08591679339376
137,2.2454846054030115,-4.041349178973024
138,3.1947834439093805,-4.142419633328087
139,2.2782123152559657,-4.427955952989349
140,1.5367986256856434,-5.428997779344763
141,1.4929598618817783,-6.018190038122307
142,1.3020880718483885,-6.19716525298167
143,0.733266415794184,-6.385600218289495
144,0.5,-3.429745616217281
145,0.5164123137458823,-3.5924474794957773
146,0.6248404399502017,-2.138249098856403
147,0.6354922237952744,-2.0062953485476624
148,0.9841580697359482,-2.1887236916364086
149,1.4717011207294777,-1.8365172492366606
150,2.618895645849153,-2.867975852586654
151,2.5599543615482396,-3.650320727895586
152,2.357041622324287,-3.9665995754385848
153,2.036007071561317,-4.698268888889482
