s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
263,89617.8580086967,43239.0984845428,-2.6006242176,0.0237226106,9.6940000000,0.0000000000
262,89618.4408635013,43238.0740912301,-2.5966751753,-0.0148355724,9.6940000000,0.0000000000
261,89619.0796478640,43237.0830234752,-2.5656598056,-0.0085386343,9.6940000000,0.0000000000
260,89619.7251711501,43236.0963191474,-2.5765395102,0.0181794731,9.6940000000,0.0000000000
259,89620.3421363813,43235.0917522451,-2.6085226638,0.0076153145,9.6940000000,0.0000000000
258,89620.9232578310,43234.0658302227,-2.5944934067,-0.0184730975,9.6940000000,0.0000000000
257,89621.5681234410,43233.0790375901,-2.5649869988,-0.0076013967,9.6940000000,0.0000000000
256,89622.2086956969,43232.0892304474,-2.5765707106,0.0039907527,9.6940000000,0.0000000000
255,89622.8306782805,43231.0875243561,-2.5743971985,0.0124658417,9.6940000000,0.0000000000
254,89623.4755772044,43230.1004644051,-2.6059652054,0.0214513033,9.6940000000,0.0000000000
253,89624.0328040120,43229.0620436383,-2.6249225475,0.0160012868,9.6940000000,0.0000000000
252,89624.6397574939,43228.0513876759,-2.6436754254,0.0127961133,9.6940000000,0.0000000000
251,89625.1577746980,43226.9925656780,-2.6550635692,-0.0066592374,9.6940000000,0.0000000000
250,89625.7411318360,43225.9691504152,-2.6279890868,-0.0151869823,9.6940000000,0.0000000000
249,89626.3155571122,43224.9401215235,-2.6192757843,-0.0088055680,9.6940000000,0.0000000000
248,89626.9169246607,43223.9265750592,-2.6072359439,0.0053515706,9.6940000000,0.0000000000
247,89627.5156683003,43222.9121680855,-2.6318864990,-0.0019694696,9.6940000000,0.0000000000
246,89628.0663115369,43221.8703274635,-2.6025964969,-0.0171685194,9.6940000000,0.0000000000
245,89628.7239809187,43220.8918010790,-2.5914696666,0.0102970614,9.6940000000,0.0000000000
244,89629.2977454260,43219.8623620218,-2.6268511691,-0.0054137038,9.6940000000,0.0000000000
243,89629.8839375542,43218.8409595565,-2.5787141597,-0.0358450014,9.6940000000,0.0000000000
242,89630.5542491580,43217.8709674235,-2.5424481469,0.0012780334,9.6940000000,0.0000000000
241,89631.2137615742,43216.8935883882,-2.5817279040,0.0266306484,9.6940000000,0.0000000000
240,89631.8058048985,43215.8741050400,-2.6052075580,-0.0037683716,9.6940000000,0.0000000000
239,89632.4186221503,43214.8669996340,-2.5728432130,-0.0527260199,9.6940000000,0.0000000000
238,89633.0751973072,43213.8882144886,-2.4809360272,-0.0950979332,9.6940000000,0.0000000000
237,89633.8515821952,43213.0231521723,-2.3507707451,-0.1311436059,9.6940000000,0.0000000000
236,89634.7303520836,43212.2509173074,-2.1756141265,-0.1973638944,9.6940000000,0.0000000000
235,89635.7653184544,43211.7003145349,-1.8916170641,-0.2468456057,9.6940000000,0.0000000000
234,89636.9287839765,43211.5203772396,-1.6037632840,-0.1988899770,9.6940000000,0.0000000000
233,89638.1021970358,43211.6232468371,-1.4265826552,-0.1666966250,9.6940000000,0.0000000000
232,89639.2553642344,43211.8582474696,-1.2118619652,-0.1876675315,9.6940000000,0.0000000000
231,89640.2759702970,43212.4388177012,-0.9908686774,-0.2143250727,9.6940000000,0.0000000000
230,89641.2158468966,43213.1424911366,-0.7095554080,-0.2235179019,9.6940000000,0.0000000000
229,89641.7695998826,43214.1781123841,-0.4784285828,-0.1590232336,9.6940000000,0.0000000000
228,89642.2979348509,43215.2289862163,-0.3357873386,-0.1496983636,9.6940000000,0.0000000000
227,89642.5291041637,43216.3543167762,-0.1333840087,-0.2075194909,9.6940000000,0.0000000000
226,89642.6062761483,43217.5269418036,0.1453569831,-0.2420577940,9.6940000000,0.0000000000
225,89642.1966073101,43218.6256339465,0.4222657520,-0.1611511118,9.6940000000,0.0000000000
224,89641.6446115681,43219.6673374423,0.5234990973,-0.0481676973,9.6940000000,0.0000000000
223,89641.0195662194,43220.6647983011,0.5356760506,-0.0038146161,9.6940000000,0.0000000000
222,89640.4425818447,43221.6924321360,0.5324824041,-0.0126349241,9.6940000000,0.0000000000
221,89639.8230436458,43222.6953615620,0.5654549704,-0.0125629625,9.6940000000,0.0000000000
220,89639.1792969528,43223.6831901197,0.5621027849,0.0037412845,9.6940000000,0.0000000000
219,89638.5663706611,43224.6904519765,0.5566334588,0.0009365901,9.6940000000,0.0000000000
218,89637.9334951112,43225.6852192686,0.5598943097,0.0037023184,9.6940000000,0.0000000000
217,89637.3141619380,43226.6882249596,0.5479042087,-0.0108251979,9.6940000000,0.0000000000
216,89636.7057874702,43227.6971116168,0.5854082168,-0.0196462230,9.6940000000,0.0000000000
215,89636.0130393909,43228.6509224143,0.5941672103,0.0065039921,9.6940000000,0.0000000000
214,89635.3865575534,43229.6497675922,0.5700813652,0.0145976751,9.6940000000,0.0000000000
213,89634.7404481620,43230.6359860210,0.5597465054,0.0098980521,9.6940000000,0.0000000000
212,89634.1347286213,43231.6475907829,0.5467455171,-0.0048355143,9.6940000000,0.0000000000
211,89633.5144841621,43232.6502662143,0.5711488003,-0.0106032172,9.6940000000,0.0000000000
210,89632.8601395335,43233.6311075733,0.5717450976,0.0064405699,9.6940000000,0.0000000000
209,89632.2386651326,43234.6330962898,0.5559630765,0.0013731059,9.6940000000,0.0000000000
208,89631.6156039132,43235.6340940474,0.5685071219,-0.0090268841,9.6940000000,0.0000000000
207,89630.9691756448,43236.6201996349,0.5772485059,-0.0006131979,9.6940000000,0.0000000000
206,89630.3286996602,43237.6101680220,0.5699531501,0.0016862767,9.6940000000,0.0000000000
205,89629.6967293238,43238.6055974270,0.5732719938,-0.0007063678,9.6940000000,0.0000000000
204,89629.0496907744,43239.5913014153,0.5716188537,0.0018478789,9.6940000000,0.0000000000
203,89628.4210149705,43240.5888149840,0.5689145248,-0.0046212631,9.6940000000,0.0000000000
202,89627.7793463590,43241.5779585286,0.5825162011,-0.0011446311,9.6940000000,0.0000000000
201,89627.1237787294,43242.5579922887,0.5716136419,-0.0181249673,9.6940000000,0.0000000000
200,89626.5038412171,43243.5608735608,0.6252498828,-0.0316406190,9.6940000000,0.0000000000
199,89625.7483411045,43244.4633882309,0.6459681699,0.0094642629,9.6940000000,0.0000000000
198,89625.0881877166,43245.4387419502,0.6029928328,0.0270492157,9.6940000000,0.0000000000
197,89624.4118759179,43246.4044029382,0.5822233355,0.0370194355,9.6940000000,0.0000000000
196,89623.7922605635,43247.4071867185,0.5157478166,-0.0090423727,9.6940000000,0.0000000000
195,89623.2504693631,43248.4529942918,0.6035172913,-0.1947006913,9.6940000000,0.0000000000
194,89622.4673111395,43249.3293175496,0.9702844058,-0.3085996950,9.6940000000,0.0000000000
193,89621.3891232276,43249.7278090292,1.2997336638,-0.1253943763,9.6940000000,0.0000000000
192,89620.2404420783,43249.9481700970,1.2601034527,0.0202297660,9.6940000000,0.0000000000
191,89619.1814924109,43250.4366608385,1.2528280612,-0.0300715607,9.6940000000,0.0000000000
190,89618.0294222582,43250.6758964534,1.3301010699,0.0729288493,9.6940000000,0.0000000000
189,89616.9007576802,43250.9964756658,1.0815594518,0.2049932323,9.6940000000,0.0000000000
188,89616.0191754791,43251.7461685416,0.8632484162,0.1120613997,9.6940000000,0.0000000000
187,89615.1940972612,43252.4561378751,0.8298997967,0.1206044837,9.6940000000,0.0000000000
186,89614.3646793573,43253.2595938479,0.5928195565,0.2480683385,9.6940000000,0.0000000000
185,89613.9235634939,43254.3421907302,0.2657719180,0.2175607144,9.6940000000,0.0000000000
184,89613.7538770677,43255.5034457668,0.0868820861,0.1379353386,9.6940000000,0.0000000000
183,89613.7198123282,43256.6814328559,-0.0581138934,0.1686179367,9.6940000000,0.0000000000
182,89613.8896235269,43257.8366848847,-0.3072091599,0.1993334161,9.6940000000,0.0000000000
181,89614.4202463160,43258.8892414612,-0.5198204584,0.1607529784,9.6940000000,0.0000000000
180,89615.0585677927,43259.8791387740,-0.6855100899,0.1443779125,9.6940000000,0.0000000000
179,89615.9002712701,43260.6989709337,-0.8573559669,0.1138976171,9.6940000000,0.0000000000
178,89616.8353977812,43261.4170357557,-0.9531634785,0.0590575793,9.6940000000,0.0000000000
177,89617.8206030893,43262.0630621656,-0.9964665831,0.0121626625,9.6940000000,0.0000000000
176,89618.8143023000,43262.6975733299,-0.9818318817,-0.0223767466,9.6940000000,0.0000000000
175,89619.7805032667,43263.3723869734,-0.9437241586,0.0219866898,9.6940000000,0.0000000000
174,89620.7220128224,43264.0799766397,-1.0336309473,0.1133832680,9.6940000000,0.0000000000
173,89621.7925441594,43264.5707243329,-1.2092522065,0.1644608023,9.6940000000,0.0000000000
172,89622.9192657941,43264.9109046947,-1.4199690119,0.1798899928,9.6940000000,0.0000000000
171,89624.0954079588,43264.9207171113,-1.6282714394,0.1558866109,9.6940000000,0.0000000000
170,89625.2653860618,43264.7759124915,-1.7863026539,0.1607953105,9.6940000000,0.0000000000
169,89626.3845631030,43264.4196079002,-2.0050729312,0.1803193688,9.6940000000,0.0000000000
168,89627.3819589738,43263.7942304314,-2.2070144659,0.1540890236,9.6940000000,0.0000000000
167,89628.2737294063,43263.0241147923,-2.3669804645,0.1460766751,9.6940000000,0.0000000000
166,89629.0235198163,43262.1168704054,-2.5498517436,0.1051515072,9.6940000000,0.0000000000
165,89629.5810439022,43261.0789377659,-2.6134208028,0.0308447402,9.6940000000,0.0000000000
164,89630.2099670351,43260.0834159873,-2.6224686335,-0.0279170611,9.6940000000,0.0000000000
163,89630.7481403725,43259.0364141831,-2.5477473377,-0.1178288320,9.6940000000,0.0000000000
162,89631.5176982701,43258.1464359384,-2.3470904598,-0.1258177860,9.6940000000,0.0000000000
161,89632.4230430385,43257.3917339357,-2.2524030608,-0.0987852576,9.6940000000,0.0000000000
160,89633.3484142639,43256.6611352908,-2.1142077179,-0.1733129163,9.6940000000,0.0000000000
159,89634.4051164802,43256.1944103424,-1.8510723537,-0.2025513673,9.6940000000,0.0000000000
158,89635.5699700596,43256.0216533452,-1.6459569988,-0.1430879784,9.6940000000,0.0000000000
157,89636.7469184299,43256.0180667466,-1.5150399489,-0.0981431650,9.6940000000,0.0000000000
156,89637.9167326860,43256.1526360890,-1.4152798184,-0.0833453683,9.6940000000,0.0000000000
155,89639.0724508549,43256.3826695326,-1.3188499043,-0.0863659836,9.6940000000,0.0000000000
154,89640.1879354068,43256.7372806514,-1.2127304834,-0.0548387411,9.6940000000,0.0000000000
153,89641.2578361447,43257.2004325548,-1.1908904823,-0.0372099113,9.6940000000,0.0000000000
152,89642.3573055953,43257.6035178675,-1.1258110143,-0.0831413230,9.6940000000,0.0000000000
151,89643.3661850769,43258.2058728180,-0.9966874904,-0.0671047446,9.6940000000,0.0000000000
150,89644.3317606196,43258.8805574782,-0.9680177667,-0.0044738063,9.6940000000,0.0000000000
149,89645.3061627327,43259.5410112897,-0.9861515976,0.0079668180,9.6940000000,0.0000000000
148,89646.2960863372,43260.1806017052,-0.9867841311,-0.0269569242,9.6940000000,0.0000000000
147,89647.2721797328,43260.8403873265,-0.9226246962,-0.0404222479,9.6940000000,0.0000000000
146,89648.1725013524,43261.6016546980,-0.8916386693,0.0291670807,9.6940000000,0.0000000000
145,89649.1063458838,43262.3210530667,-0.9913782337,0.0538004687,9.6940000000,0.0000000000
144,89650.1373889127,43262.8873534822,-1.0179701948,0.0860591308,9.6940000000,0.0000000000
143,89651.1049596561,43263.5541986484,-1.1934817405,0.2415311550,9.6940000000,0.0000000000
142,89652.2318420670,43263.7173899401,-1.5621230309,0.2264899104,9.6940000000,0.0000000000
141,89653.4022048170,43263.5741238350,-1.7138041620,0.0996521977,9.6940000000,0.0000000000
140,89654.5651184031,43263.3814196772,-1.7970371977,0.1067076646,9.6940000000,0.0000000000
139,89655.6941946132,43263.0465499233,-1.9647725918,0.1992749251,9.6940000000,0.0000000000
138,89656.7262209096,43262.4830263094,-2.2634203401,0.2352484056,9.6940000000,0.0000000000
137,89657.4651626404,43261.5770765794,-2.5061343101,0.1737188723,9.6940000000,0.0000000000
136,89658.1179010563,43260.5960235186,-2.6707365748,0.2091657559,9.6940000000,0.0000000000
135,89658.5209227961,43259.5030681866,-2.9929174616,0.2768468953,9.6940000000,0.0000000000
134,89658.4573731674,43258.3295583008,2.9779855948,0.1984586028,9.6940000000,0.0000000000
133,89658.1399337807,43257.1951996182,2.8260524306,0.0741462496,9.6940000000,0.0000000000
132,89657.7265876216,43256.0909552478,2.8033811556,-0.0256674466,9.6940000000,0.0000000000
131,89657.3578092976,43254.9715231949,2.8865560826,0.1072442025,9.6940000000,0.0000000000
130,89657.1333475816,43253.8155100046,2.5511956712,0.3319495406,9.6940000000,0.0000000000
129,89656.1655718362,43253.1924114898,2.1756360466,0.1834297833,9.6940000000,0.0000000000
128,89655.2215370406,43252.4939415557,2.1248817014,0.0536268116,9.6940000000,0.0000000000
127,89654.1713164061,43251.9584850509,2.0498742653,0.0128520325,9.6940000000,0.0000000000
126,89653.1307852470,43251.4079226291,2.0946024652,-0.0204107527,9.6940000000,0.0000000000
125,89652.1333647874,43250.7813096074,2.0979110870,0.0434551860,9.6940000000,0.0000000000
124,89651.0981863519,43250.2248529063,1.9924031822,0.0919659601,9.6940000000,0.0000000000
123,89650.0055970675,43249.8270031514,1.8834489863,0.0692032627,9.6940000000,0.0000000000
122,89648.8794884507,43249.5076480546,1.8310392889,0.0452917887,9.6940000000,0.0000000000
121,89647.7468928009,43249.2255515067,1.7775834722,0.0473141073,9.6940000000,0.0000000000
120,89646.5920877431,43249.0277835979,1.7204570808,0.0410358697,9.6940000000,0.0000000000
119,89645.4232908769,43248.8751796603,1.6811545366,0.0058182892,9.6940000000,0.0000000000
118,89644.2493297788,43248.7681862935,1.7067428096,-0.0303837362,9.6940000000,0.0000000000
117,89643.0927183073,43248.5563801337,1.7526254652,-0.0968377736,9.6940000000,0.0000000000
116,89641.9605270516,43248.3473673289,1.9321004865,-0.1862234318,9.6940000000,0.0000000000
115,89640.9544175398,43247.7483322775,2.1783108667,-0.2221376923,9.6940000000,0.0000000000
114,89640.0437690419,43247.0147879120,2.4506732653,-0.2488466355,9.6940000000,0.0000000000
113,89639.4926379340,43245.9805129870,2.7491405679,-0.2129009773,9.6940000000,0.0000000000
112,89639.1488650768,43244.8527883821,2.9488385818,-0.1779205021,9.6940000000,0.0000000000
111,89639.0440172014,43243.6819836768,-3.1173726417,-0.1819857606,9.6940000000,0.0000000000
110,89639.2055154358,43242.5142560332,-2.9086422823,-0.1874737902,9.6940000000,0.0000000000
109,89639.5847376640,43241.4029402843,-2.6782508574,-0.1980969111,9.6940000000,0.0000000000
108,89640.2467344118,43240.4302250161,-2.4471435552,-0.1784567917,9.6940000000,0.0000000000
107,89641.0843500806,43239.6023468999,-2.2600761401,-0.1601463043,9.6940000000,0.0000000000
106,89642.0561714180,43238.9390208234,-2.0716439347,-0.1358271349,9.6940000000,0.0000000000
105,89643.1400215659,43238.4770649830,-1.9417637310,-0.0644120333,9.6940000000,0.0000000000
104,89644.2519865881,43238.0849002840,-1.9198838512,0.0056977184,9.6940000000,0.0000000000
103,89645.3558553810,43237.6705130417,-1.9551992911,0.0306402549,9.6940000000,0.0000000000
102,89646.4369883097,43237.2010078300,-1.9921032529,0.0033552096,9.6940000000,0.0000000000
101,89647.5067105948,43236.7066265813,-1.9631073822,-0.0199945527,9.6940000000,0.0000000000
100,89648.6117714423,43236.3011716613,-1.9450442697,-0.0116290829,9.6940000000,0.0000000000
99,89649.6978178648,43235.8460511230,-1.9357319649,-0.0095178361,9.6940000000,0.0000000000
98,89650.8117024811,43235.4606917469,-1.9226296081,-0.0526060351,9.6940000000,0.0000000000
