left_x,left_y,right_x,right_y,center_x,center_y,width,w_tr_left_m,w_tr_right_m
89625.65590483273,43199.358612700205,89631.76250298323,43203.64826145636,89628.6925139564,43201.49171303352,7.462682320907014,3.7109448934098848,3.751737427497129
89626.88934672253,43197.84621050229,89632.05905240828,43203.380490312935,89629.46942648562,43200.60825381072,7.573296161726188,3.7796653507364906,3.793630810989699
89627.82189157544,43196.98962631994,89632.86090094628,43202.63994593069,89630.33632959954,43199.80910648921,7.570961698633437,3.7778696001285823,3.7930920985048537
89629.73237750857,43195.742394940986,89632.8959914421,43202.5829832747,89631.30920054158,43199.15190698937,7.537183984960475,3.756712972480754,3.780471012479721
89630.97168766981,43195.24394596179,89633.8389306242,43202.19188862958,89632.40535857734,43198.71803816015,7.5163175462643315,3.758289354120463,3.758028192143869
89632.57639439285,43194.77832720674,89634.4705644167,43201.93594149581,89633.51250721686,43198.315701910855,7.404196593438723,3.659236578403813,3.7449600150349096
89634.17030654901,43194.45823290103,89635.17015166179,43201.72631185668,89634.67534542274,43198.12942510177,7.336572274517239,3.7057897428068927,3.630782531710347
89634.79098052073,43194.38883932039,89636.85132777358,43201.32703823538,89635.82167877557,43197.8597151525,7.237656453992345,3.620680455000039,3.616975998992306
89636.18736561964,43194.00983760261,89637.74380659265,43201.15088853277,89636.95899789795,43197.5501587615,7.30874328453612,3.6234569828968666,3.685286301639253
89637.41682432807,43193.703608624906,89638.81376979002,43200.93543445986,89638.11715862772,43197.329151615355,7.365520811295361,3.692568767981816,3.6729520433135443
89638.36148364219,43193.490887842854,89640.16621082966,43200.623326357505,89639.26839937756,43197.07510198137,7.357245736308963,3.6971846550658105,3.660061081243153
89639.65608579024,43193.19560449261,89641.16389011241,43200.36556281719,89640.41014181456,43196.781372586636,7.326849610836015,3.6642285409624,3.662621069873615
89640.49238688288,43192.956912061876,89642.61615417291,43200.046305985095,89641.55534716144,43196.505202926455,7.400668463459577,3.7040859351231656,3.6965825283364104
89641.95421418804,43192.5861312607,89643.45781957965,43199.93462538944,89642.6925656596,43196.19462684727,7.500777686797303,3.6832753075303843,3.8175023792669185
89644.26459653473,43192.068657202966,89643.49804946147,43199.96946476369,89643.86312458207,43196.206918148295,7.937960001660076,4.157717774117118,3.780242227542957
89646.12776642997,43192.61282821954,89643.9556470554,43200.01506953942,89645.03124835741,43196.351036416476,7.716047473483457,3.8965650757074717,3.8194823977759857
89647.62824829094,43193.475750752514,89644.58011064625,43200.17918509319,89646.12513354451,43196.78161719779,7.366310592897052,3.6327268432872284,3.7335837496098234
89648.99504101127,43194.282935144605,89645.26859743263,43200.5052336249,89647.13372001187,43197.390914130694,7.252837012244934,3.622722076485283,3.6301149357596523
89650.37588886458,43195.169237468064,89645.84523520982,43200.91987630029,89648.04311670846,43198.13006042531,7.321736724712083,3.7697811580655047,3.551955566646578
89651.10494756125,43195.62699216246,89646.89652776439,43202.00218075863,89649.05847828652,43198.72711446975,7.6391972107284385,3.71478451731912,3.924412693409319
89653.60134935215,43197.40474057873,89646.48483093957,43201.5470821995,89649.83759671438,43199.595445928,8.234670605565137,4.355076434875162,3.879594170689974
89654.69025753975,43198.97417672663,89646.8732800492,43202.006871753656,89650.32497359131,43200.66772556784,8.384663585585523,4.68229390964174,3.702369675943784
89654.9852908213,43199.77697007898,89647.77680257848,43203.16641258557,89650.76527967524,43201.76123240374,7.965763280943807,4.663339749548459,3.3024235313953465
89654.96497009868,43200.15487020834,89648.53292290772,43204.83679818279,89651.39360534705,43202.754690001995,7.955982882734308,4.417640231080723,3.5383426516535863
89655.04475067594,43204.18240521666,89648.14816970416,43203.51108331101,89651.66356994216,43203.85330236174,6.929207680976636,3.3971742802162086,3.532033400760427
89655.02705883181,43204.52372927326,89648.56428965938,43205.49897276281,89651.81870055373,43205.007978009875,6.536687646957411,3.24507081315128,3.2916168338061307
89654.89521436051,43206.37322406134,89648.576054375,43205.98839403099,89651.81256118354,43206.185491466706,6.330947297230396,3.0884034777765277,3.2425438194538687
89654.60233319788,43207.91765852613,89648.63064994752,43206.77375781256,89651.61667287497,43207.34582952488,6.080596701416013,3.0400974469323843,3.0404992544836285
89654.34487965122,43209.13681016782,89648.59207769891,43207.88784752565,89651.467626878,43208.51215599735,5.886834157531904,2.944286166751964,2.9425479907799406
89654.15172996266,43210.00872808873,89648.48853354335,43209.34744048931,89651.36011958958,43209.682773584624,5.70211305898564,2.8107914030875634,2.8913216558980768
89653.92922619099,43211.05746955108,89648.41620533941,43210.62870254213,89651.14869507453,43210.841214610096,5.529722515810734,2.7889549444335153,2.740767571377219
89653.85515903236,43212.179451083444,89648.34814091014,43211.858773217995,89651.10785855105,43212.01947358876,5.516354042740679,2.7519579214781396,2.7643961212625396
89653.80637838176,43213.26164022258,89648.27692678382,43213.130895841954,89651.0321697201,43213.19604274819,5.531073081080094,2.7750222121900743,2.75605086889002
89653.8023989614,43214.57502068382,89648.21772438787,43214.17320028263,89651.00940524218,43214.37406654629,5.599115660687382,2.8002157231678244,2.7988999375195585
89653.89601503396,43215.31365660022,89648.13686379684,43215.78854300451,89651.0870814355,43215.54527568945,5.7795318376700555,2.81887397863753,2.960657859032525
89654.07109171264,43216.50979294592,89648.06083035214,43216.92856705309,89651.03646592986,43216.72111278269,6.026055928807272,3.0425908862662063,2.9834650425410656
89654.19216656912,43217.012041564514,89648.04146838027,43218.83495329966,89651.32772550231,43217.86099156928,6.415148484660288,2.987598741495591,3.4275497431646977
