s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
119.8815393,89647.1802167,43170.7356155,-0.4323156,-0.1447080,6.7043046,5.0893077
121.8795649,89648.3608361,43172.4419311,-0.7781480,-0.1364246,8.0799031,2.7875170
123.8775906,89649.9243086,43173.7112160,-0.9834700,-0.0857728,8.7420761,4.9417630
125.8756162,89651.7304530,43174.6947086,-1.1559010,-0.0695323,9.8067035,4.8491964
127.8736419,89653.5626331,43175.3942284,-1.2359627,-0.0078676,10.7493754,1.1797223
129.8716675,89655.4759189,43176.0682009,-1.2170813,0.0268923,10.9664626,-6.8601768
131.8696932,89657.3308855,43176.8413842,-1.1232983,0.0600439,9.6358541,-5.4308854
133.8677188,89659.0366650,43177.8045987,-0.9800281,0.0970183,8.4349029,-3.3208252
135.8657445,89660.5346495,43179.1048164,-0.7118051,0.1546454,7.6077197,-2.2441816
137.8637701,89661.5930957,43180.8085704,-0.3841126,0.2041541,6.9935352,-1.7276818
139.8617958,89661.8715004,43182.7671627,0.1136446,0.2492337,6.4811750,-0.1932809
141.8598215,89661.1833941,43184.6152046,0.6147789,0.2910271,6.4213136,-0.1932809
143.8578471,89659.6484118,43185.8438337,1.1176857,0.1503158,6.3608889,5.1103395
145.8558728,89657.7949956,43186.4195871,1.4409514,0.1649868,7.8026974,1.6698738
147.8538984,89655.8495046,43186.4265926,1.6704873,0.0937327,8.2191841,4.9833360
149.8519241,89653.8190456,43186.0263050,1.8554055,0.0749748,9.3524678,4.8899907
151.8499497,89651.9303527,43185.3413844,1.9716139,0.0437666,10.3445303,4.1097551
153.8479754,89650.0921097,43184.4849129,2.0309445,0.0120223,11.1100000,0.0000000
155.8460010,89648.3096386,43183.6026751,2.0167337,-0.0257637,11.1100000,-2.4061111
157.8440267,89646.4344339,43182.7829810,1.9392134,-0.0554672,10.6685124,-6.1793768
159.8420523,89644.5242876,43182.1983002,1.7912945,-0.0699967,9.4405535,-2.1206967
161.8400780,89642.6328279,43181.8792079,1.6692645,-0.1271841,8.9805143,-0.3710940
163.8381037,89640.6824080,43182.0084915,1.3340906,-0.1515788,8.8975686,-0.3710940
165.8361293,89638.7971707,43182.7511010,1.0662059,-0.1124484,8.8138423,2.9004345
167.8341550,89637.1456595,43183.8263861,0.9560620,-0.0069717,9.4484973,4.8815277
169.8321806,89635.4775677,43184.9678230,1.0019236,0.0450598,10.4298099,0.6124211
171.8302063,89633.7067814,43185.9519487,1.1431643,0.0938047,10.5464781,-0.6340291
173.8282319,89631.7275452,43186.6631803,1.2948279,0.0539282,10.4256697,-6.2534686
175.8262576,89629.8750369,43187.0869342,1.4125535,0.0733394,9.1490659,-1.3366057
177.8242832,89627.9995467,43187.2642342,1.5753984,0.1407622,8.8523591,-0.6653636
179.8223089,89625.9953657,43186.9413801,1.8806287,0.1381019,8.7008870,-1.6128076
181.8203345,89624.1616822,43186.0475801,2.1734488,0.1468877,8.3222937,-1.0307566
183.8183602,89622.6957192,43184.6936674,2.4581354,0.1428109,8.0710357,-1.6007394
185.8163859,89621.6365429,43182.9043771,2.7515860,0.1384818,7.6645274,-3.1675078
187.8144115,89621.1991467,43180.9649493,3.1224592,0.1963338,6.7887743,-0.2120627
189.8124372,89621.2324550,43179.1353184,-3.1017004,0.2652517,6.7260719,-0.2120627
