s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,89630.1,43130.7,2.1301851206991356,29.694014118646727,8.33333,0.0
0.5943566417413899,89629.80579395946,43131.216432593166,2.0783455008988776,28.286764285127916,8.33333,0.0
1.1935281449830957,89629.5478513514,43131.75723949146,2.045128399888991,26.392957170871078,8.33333,0.0
1.7966735147668687,89629.30651975865,43132.30999929412,2.032988483340724,25.006403440894577,8.33333,0.0
2.4006137829507885,89629.062146764,43132.862290600424,2.0385536942392597,24.30818410596434,8.33333,0.0
3.002541371161696,89628.79538216554,43133.40187698874,2.054504356003203,24.048517803865895,8.33333,0.0
3.6029224846687544,89628.50029234517,43133.92473402405,2.071036341681103,23.962691107138266,8.33333,0.0
4.203117097286005,89628.1894037696,43134.43813627044,2.079225924242305,23.928849880918804,8.33333,0.0
4.803153860023683,89627.8765861327,43134.95018045083,2.074885182618065,23.921164396319785,8.33333,0.0
5.402872630885261,89627.57570912827,43135.468963288185,2.060476901308034,23.92752300427477,8.33333,0.0
6.00319421184993,89627.30035209679,43136.00240916715,2.044186870264127,23.941076063922672,8.33333,0.0
6.605492544767498,89627.05097691965,43136.550656650375,2.0364957848466982,23.988834401901112,8.33333,0.0
7.20821710078974,89626.80986401404,43137.1030527557,2.0456101527165456,24.096850554430628,8.33333,0.0
7.808707940616797,89626.5579566846,43137.64815086255,2.0736400325396347,24.216060846160488,8.33333,0.0
8.405730400352667,89626.27619823598,43138.174504350296,2.1150211392639995,24.226789080086505,8.33333,0.0
9.001871813478498,89625.94834618742,43138.6723975303,2.1581385949810583,24.064589837811276,8.33333,0.0
9.601199738204562,89625.5823596426,43139.14700032251,2.1900350232953127,23.819485918693527,8.33333,0.0
10.203431145551168,89625.19853603732,43139.611071554136,2.201861470891637,23.656676281906527,8.33333,0.0
10.805804464056983,89624.81727116555,43140.07743054933,2.1921060051653236,23.654240385251917,8.33333,0.0
11.40596853888735,89624.4589512561,43140.55889057801,2.1666180492444562,23.752123612168567,8.33333,0.0
12.004841986874318,89624.13618806574,43141.06334407403,2.1359547318588747,23.84418901301541,8.33333,0.0
12.604720803262433,89623.8397876418,43141.584881592375,2.1111182842073988,23.886059505280297,8.33333,0.0
13.20583051348413,89623.5567616374,43142.115192034056,2.0995499166448464,23.90076817487293,8.33333,0.0
13.807166134746247,89623.27412170572,43142.645964300114,2.103055828065913,23.91061882154421,8.33333,0.0
14.407679594271068,89622.97887949992,43143.16888729156,2.117905854930428,23.901874273669748,8.33333,0.0
15.007470620559339,89622.65972735152,43143.67671716602,2.1366001211680854,23.857172943845878,8.33333,0.0
15.607654740539408,89622.32023454423,43144.17165717417,2.150796736449768,23.796724992567533,8.33333,0.0
16.20828175389634,89621.97173717796,43144.66084261434,2.1544784793366323,23.765926928508343,8.33333,0.0
16.808682685710497,89621.62563879674,43145.15145161288,2.1461402071104985,23.786233610582848,8.33333,0.0
17.40837580692099,89621.29334294458,43145.650662296124,2.129268389575544,23.835359603886044,8.33333,0.0
18.00793653035554,89620.98484779258,43146.16476715146,2.110979736675924,23.8798322453707,8.33333,0.0
18.608351535282296,89620.69595405576,43146.691111703025,2.099179894881389,23.9122412494125,8.33333,0.0
19.209230008493936,89620.41422615206,43147.22185111917,2.099321672830299,23.941643066470323,8.33333,0.0
19.80955714091494,89620.12712732713,43147.74907681149,2.112146257264779,23.95709106588164,8.33333,0.0
20.408791729538795,89619.82212082672,43148.26488019158,2.1332816795842615,23.92695790596978,8.33333,0.0
21.007871787802987,89619.49003915378,43148.76349695695,2.154897813240358,23.844137461404298,8.33333,0.0
21.60798016260529,89619.13831581063,43149.24972812768,2.168878305631669,23.753034158931346,8.33333,0.0
22.208796167253382,89618.77948853164,43149.73162319436,2.1701300861234945,23.712166161933638,8.33333,0.0
22.809381214173136,89618.42609644204,43150.217232532814,2.1585904950700847,23.736731901447833,8.33333,0.0
23.40928617984148,89618.09067856653,43150.71460645314,2.139268579728517,23.79279124167895,8.33333,0.0
24.00943693733779,89617.78122960089,43151.228826512444,2.120336713760291,23.845085218556605,8.33333,0.0
24.610477842096795,89617.48907445905,43151.75408410857,2.1099262509467747,23.891431386937814,8.33333,0.0
25.21160013876753,89617.20171671071,43152.2820742032,2.112978963019497,23.93935084452642,8.33333,0.0
25.811582311825315,89616.90665992557,43152.80449175797,2.129414379021093,23.965679796651152,8.33333,0.0
26.409910729526512,89616.59140774574,43153.313031784455,2.1541190657049296,23.925567219121543,8.33333,0.0
27.007846632767343,89616.24785633611,43153.80241892499,2.1787478250850785,23.80863051810712,8.33333,0.0
27.607026126905282,89615.88414923652,43154.27858403491,2.1947442772522576,23.669262626788445,8.33333,0.0
28.207555475474074,89615.51218569918,43154.75004837649,2.1961867331307,23.587082666550337,8.33333,0.0
28.808850602527496,89615.14386497621,43155.22533321199,2.1811754491798707,23.604445923480373,8.33333,0.0
29.410708113291566,89614.79108628549,43155.71295976852,2.1515424953300033,23.706825677798836,8.33333,0.0
30.01370057751995,89614.4636668238,43156.219315777686,2.1114215320347127,23.851581354525177,8.33333,0.0
30.617111105307263,89614.16372266063,43156.7428974466,2.065423645011685,24.00257112485961,8.33333,0.0
31.21955645753121,89613.89158968753,43157.280376792594,2.017245716048763,24.13471038809462,8.33333,0.0
31.819462171712875,89613.64760379608,43157.828425832995,1.9692486567771454,24.21364437690245,8.33333,0.0
32.41514385627815,89613.43207886245,43158.38375066794,1.922827955107274,24.182650026573523,8.33333,0.0
