idx,s_m,local_smoothing,blend,displacement_from_arclength_base_m,kappa_radpm,requested_steer_rate_radps,ub,lb
405,235.65140894114273,False,0.4600774044371205,0.14310538212900495,0.19508830058383358,0.09074475784365671,3.8348095028726785,-3.9520955821736092
406,236.22705388395696,False,0.3818924953335078,0.15108692752328212,0.19907703837050475,0.29300867213990794,3.816047244700229,-3.9485147325709495
407,236.8019641704433,False,0.3082355125549668,0.14672286838270213,0.2039692499989138,0.4333721940546063,3.771845337964156,-3.943324886068268
408,237.37373644484325,False,0.24158791843731262,0.14140893291020254,0.1707439524888332,0.2989371614750733,3.679450238047433,-4.014036348175106
409,237.94487633677704,False,0.18364728362161295,0.14003120038932484,0.1622341801058564,0.4062246198602075,3.5517420993039823,-4.003958967247903
410,238.51776199077443,False,0.13525119732980018,0.14419083553555714,0.14233692434487857,0.41184195992544254,3.5860921767264418,-3.8765378857823847
411,239.09697862892548,False,0.0964124283328062,0.14603207824441763,0.12360042229999355,0.39875891566475785,3.6039918582620905,-3.7954410069284616
412,239.6844762806353,False,0.06646573390701561,0.12151248037405554,0.10300425333596529,0.32072049312677287,3.5934844553932166,-3.649458633565908
413,240.27550691165303,False,0.044280677027202314,0.07947591288405405,0.08538508679983975,0.3218631904486996,3.6371412043340627,-3.5504976926411698
414,240.86984154074503,False,0.028490011931350746,0.06239872259159993,0.0722528477797077,0.4057245646313333,3.7522460811986806,-3.4963356861136354
415,241.46697072945534,False,0.028490011931350746,0.09351475640798543,0.054501847004644985,0.4152214680335051,3.814321468509464,-3.471354771318586
416,242.0671262814838,False,0.044280677027202314,0.12451333352657055,0.03326383842925311,0.37310009662714455,3.8149890983698262,-3.470309228958282
417,242.66651947191724,False,0.06646573390701561,0.13744276683731996,0.014627649989017418,0.28088984962279756,3.798746543005985,-3.483672187543986
418,243.26412563166943,False,0.0964124283328062,0.14283796592534675,-0.002433531514863032,0.08666573419601911,3.776878254046863,-3.504533368694199
419,243.86143216740638,False,0.13525119732980018,0.1258865619938078,-0.012187859666698383,0.08361527726403731,3.7711989838433344,-3.5386719413936896
420,244.45969658546727,False,0.18364728362161295,0.10994281882349215,-0.010711547614355707,0.1632986761071092,3.7760950611382893,-3.5633339817293797
421,245.06021271072797,False,0.24158791843731262,0.10273287992582623,-0.004179456308820708,0.26680516970740376,3.7805971175384814,-3.590158705705262
422,245.66402974870417,False,0.3082355125549668,0.06748526115956752,0.005000035967226581,0.3166225411452137,3.8253503811331147,-3.6162138693026473
423,246.27158722780254,False,0.3818924953335078,0.0693841634121337,0.02164538752081483,0.262479777079275,3.9136373456548212,-3.642032420897157
424,246.88222949845795,False,0.4601041715560248,0.1220145176585483,0.03583775097116134,0.22525127867182612,3.934695097927267,-3.670550307332461
425,247.51137123376708,True,1.0,0.14535803341221853,0.047694741459332515,0.21474121379319966,3.9265775070812636,-3.6779162449717493
426,248.1183772948038,True,1.0,0.12532420245856105,0.0581614388377661,0.2342795984695179,3.882579255215347,-3.6990661220327463
427,248.72016637656705,True,1.0,0.13168267059277733,0.06854694244509729,0.3325644334629925,3.8083603041463756,-3.727471956900626
428,249.31458327956489,True,1.0,0.1360761684592227,0.08072633274027285,0.407203476822688,3.7389366242010844,-3.7995657466652304
429,249.89935588853868,True,1.0,0.21750065818749667,0.10024164915211692,0.420410766587265,3.6528849887672084,-3.837035730249294
430,250.4724239910478,True,1.0,0.27494089686247586,0.11900849222917492,0.4540745020191004,3.554714685007225,-3.9167307351757747
431,251.03213662763324,True,1.0,0.2915556321443833,0.13918080663899732,0.47930079113141527,3.4448704704549153,-3.9618967235188185
432,251.57743583099344,True,1.0,0.31265156653444676,0.16037471155902833,0.46398476826136503,3.468232749573979,-4.008299657533836
433,252.10803347947493,True,1.0,0.33775572917241103,0.1821190857916317,0.4091241310340947,3.4478744544300897,-4.042967380245826
434,252.62456936899807,True,1.0,0.3706873428397893,0.20126585597884575,0.3141765614307604,3.420141350870568,-4.0387968885428425
