left_x,left_y,right_x,right_y,center_x,center_y,width,w_tr_left_m,w_tr_right_m
89622.19621933675,43244.44007698676,89626.99159033745,43247.863002219055,89624.59129615912,43246.14967753433,5.891689077017465,2.942639464382414,2.9490496126350507
89622.25196470831,43244.35797870709,89627.04022802786,43247.794035580744,89624.6449861723,43246.07521046762,5.893551769210703,2.9454094191569036,2.948142350053799
89622.30465131784,43244.28028362973,89627.09199309791,43247.7207205863,89624.69885034925,43246.00088165833,5.895358154632804,2.948329455472933,2.9470286991598718
89622.35385820935,43244.207562790776,89627.14728882145,43247.64251214321,89624.75271091511,43245.926569117364,5.897105568567882,2.951182314736243,2.9459232538316398
89622.3974223429,43244.13883618792,89627.20635451273,43247.5590616697,89624.80638749679,43245.85214877232,5.901166915135408,2.9561043832281464,2.9450625319072614
89622.43718013077,43244.07551970235,89627.2691817937,43247.470313698876,89624.85969972114,43245.77749655078,5.905325253478853,2.960629385502867,2.944695867975986
89622.47357813866,43244.01731169712,89627.33541015271,43247.376646907134,89624.9124672151,43245.70248838034,5.909529895525052,2.9644561694913216,2.945073726033731
89622.50743233947,43243.96312382084,89627.40419040305,43247.27909606682,89624.96450960553,43245.62700018858,5.913874488806771,2.9674422081220384,2.9464322806847316
89622.5401269533,43243.91099634995,89627.47411762865,43247.17952568115,89625.01564651934,43245.55090790309,5.91840755383747,2.96942873697352,2.94897881686395
89622.5734596116,43243.858227792094,89627.54338188638,43247.08051283046,89625.06573004641,43245.4741093471,5.92311136868828,2.9702668432417507,2.952844525446529
89622.6092524902,43243.80190534778,89627.6101352005,43246.98485950525,89625.11489012184,43245.3966897446,5.927902247067582,2.9701106399291684,2.957791607138413
89622.6489523337,43243.73956273925,89627.67287383392,43246.894975072435,89625.16339777195,43245.3188294827,5.932656591513483,2.969262418332719,2.9633941731807636
89622.69345959819,43243.66955836313,89627.73061620093,43246.81250091412,89625.21152513158,43245.24070969616,5.937258165132009,2.968024686853022,2.969233478278988
89622.74321028467,43243.591042299944,89627.78505917409,43246.739714209325,89625.25954433555,43245.16251151975,5.944272454782105,2.966724214426599,2.9775482403555062
89622.7983633843,43243.503697809494,89627.8343308593,43246.675993822595,89625.30772751874,43245.08441608828,5.951842605787342,2.9657340804777172,2.986108525309625
89622.85894742538,43243.40751143954,89627.87745417666,43246.620877925176,89625.35634681598,43245.006604536495,5.959121930591277,2.965485196205672,2.993636734385605
89622.92491513728,43243.302687390984,89627.9144672562,43246.57420956999,89625.40567436209,43244.92925799919,5.966446824963724,2.966462249036688,2.999984575927036
89622.99613227707,43243.189675199115,89627.94557455233,43246.535546068866,89625.45598229197,43244.852557611135,5.9742640310913275,2.9691817074760793,3.0050823236152486
89623.07235114336,43243.06922306751,89627.97118374694,43246.50409356469,89625.5075427396,43244.77668450695,5.983050744414887,2.974152430109312,3.0088983143055748
89623.15317664827,43242.94243313876,89627.99192859109,43246.47867060056,89625.56059609522,43244.70181384999,5.993204130545105,2.9817928970052603,3.011411233539845
89623.23794579567,43242.8109122188,89628.00873880512,43246.4576313811,89625.6152667622,43244.62809898552,6.004916867670761,2.992293889812466,3.0126229778582947
89623.32605305489,43242.67749375179,89628.02311993751,43246.43858122959,89625.67165266021,43244.555688277,6.0173263427782056,3.004904687844654,3.0124216549335516
89623.41622775998,43242.54636073667,89628.0375183526,43246.418108369515,89625.72985170902,43244.48473008793,6.028827122575732,3.0182994416510915,3.010527680924641
89623.50368041886,43242.42066861598,89628.05543044765,43246.39191721921,89625.78994914815,43244.4153610838,6.0406327312049966,3.0341098766703674,3.0065228545346288
89623.58447531231,43242.30504352042,89628.08092226634,43246.35555003418,89625.85171054096,43244.347423016,6.051829329088839,3.051502840564789,3.00032648852405
89623.65485312622,43242.20349180787,89628.117663978,43246.30536841603,89625.91456537851,43244.28044759575,6.061523934402955,3.0692091502442578,2.992314784158698
89623.7121057961,43242.118731089235,89628.16884453135,43246.23990823281,89625.97792718998,43244.213951808815,6.0701417778306395,3.0860810832963965,2.984060694534242
89623.75510153316,43242.05192054417,89628.24010681274,43246.16304418102,89626.04120950453,43244.14745264094,6.084127703734996,3.1012166040738505,2.9829110996611456
89623.7845032975,43242.00254626719,89628.32564035538,43246.07102875619,89626.10382585133,43244.080467077845,6.097087463841692,3.1140025696907627,2.9830848941509305
89623.80278531228,43241.968269005105,89628.42281066666,43245.96608358943,89626.16518975954,43244.01251210529,6.109595381509757,3.1240814050098282,2.985513976499929
89623.81385460307,43241.94498285333,89628.52771051461,43245.85182825001,89626.22472501945,43243.94311308153,6.122407901168946,3.1312650116862644,2.9911428894826813
89623.82211522444,43241.927484584034,89628.63604956867,43245.73269378585,89626.28219434564,43243.872071909034,6.136251375242974,3.1358267087190215,3.0004246665239527
89623.83131491416,43241.91069767224,89628.74415438394,43245.61293972663,89626.33776886865,43243.799523736016,6.151632944598168,3.138467034261533,3.0131659103366344
89623.84386932336,43241.89073446387,89628.84955167204,43245.49579101457,89626.39164403018,43243.72562354726,6.168734757599183,3.139741057007003,3.02899370059218
89623.86092442999,43241.865226545975,89628.95092231341,43245.3831717773,89626.44401527196,43243.650526327576,6.18740794709874,3.1400085363057824,3.047399410792958
89623.88282862741,43241.83301380227,89629.04768383893,43245.27600080266,89626.49507803563,43243.57438706172,6.207244867155331,3.13946297947433,3.0677818876810004
89623.90958680182,43241.79363858478,89629.13751734032,43245.17331628857,89626.5450277629,43243.49736073453,6.225229240511337,3.138187091760363,3.087042148750974
89623.94111288598,43241.74696806052,89629.20700087256,43245.06701353374,89626.59405989548,43243.41960233076,6.225132788257612,3.136213200211064,3.0889195880465485
89623.97731534629,43241.693004175766,89629.2720508074,43244.96765190182,89626.642369875,43243.341266835225,6.225555503958444,3.1335739077888425,3.091981596169602
89624.01809944228,43241.631823682794,89629.3327285641,43244.87520494755,89626.69015314321,43243.26250923269,6.226138830047122,3.1303364584771263,3.0958023715699956
89624.0633297431,43241.56360596205,89629.38911658167,43244.78957432872,89626.73760514178,43243.183484507965,6.2266264825059645,3.1266204457008175,3.100006036805147
89624.11275863026,43241.48874012018,89629.44139723197,43244.7104708494,89626.7849213124,43243.10434764585,6.226872267783477,3.122601651960005,3.104270615823472
89624.16593190588,43241.40797966371,89629.48995547058,43244.63724651077,89626.83229709674,43243.02525363111,6.226828348924051,3.11850579872183,3.108322550202221
