x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89635.0699806,43126.8600989,0.0,0.0,0.0,-0.886016148350828,0.4636543808286121,11.11
89636.7245077,43125.731432399996,0.0,0.0,0.0,-0.881297342981469,0.4725621580848417,11.11
89638.4021171,43124.6662955,0.0,0.0,0.0,-0.870131751516281,0.49281917069368253,11.11
89640.154027,43123.7000145,0.0,0.0,0.0,-0.8504532743328619,0.5260505946926721,11.11
89641.9852811,43122.8995002,0.0,0.0,0.0,-0.8212600278776995,0.5705540873662377,11.11
89643.89776430001,43122.3256496,0.0,0.0,0.0,-0.7811632135485301,0.6243268645497593,10.8490151
89645.8762764,43122.0397669,0.0,0.0,0.0,-0.7278552147275991,0.6857308410694685,10.2713833
89647.8704411,43122.112719,0.0,0.0,0.0,-0.6560321659570962,0.7547329310621347,9.9282824
89649.81141200001,43122.6113225,0.0,0.0,0.0,-0.5657808573018441,0.8245556509483094,9.8160449
89651.5962408,43123.5842828,0.0,0.0,0.0,-0.4536379392319468,0.8911860748964789,9.7253821
89653.0249042,43124.944118499996,0.0,0.0,0.0,-0.33519938460160253,0.9421472138486144,9.6338661
89654.1629866,43126.474771,0.0,0.0,0.0,-0.29808288046171727,0.9545399920252926,10.1220496
89655.1365261,43128.2053002,0.0,0.0,0.0,-0.20599753830649897,0.9785525096854345,10.8496779
89655.776327,43130.1602359,0.0,0.0,0.0,-0.10609599252931383,0.9943558922082273,10.7494682
89656.03692710001,43132.1236268,0.0,0.0,0.0,-0.0357609734733203,0.9993603718260198,10.6483155
89656.1268347,43134.1448329,0.0,0.0,0.0,-0.015598667356869537,0.9998783333869625,11.11
89656.20953020001,43136.137141,0.0,0.0,0.0,-0.03181298141628498,0.9994938390072282,11.11
89656.4119618,43138.146507,0.0,0.0,0.0,-0.06800642042345928,0.997684883508409,10.5826869
89656.7506878,43140.1072232,0.0,0.0,0.0,-0.107555194455467,0.9941991149390783,9.2043337
89657.35052400001,43141.9934259,0.0,0.0,0.0,-0.21169921064923555,0.9773348680009788,9.0101448
89658.4330124,43143.7006386,0.0,0.0,0.0,-0.3458389868036098,0.9382938746505024,8.9269254
89659.9554375,43144.9887772,0.0,0.0,0.0,-0.4848810461286337,0.8745801113135387,8.8429228
89661.60328550001,43145.915745,0.0,0.0,0.0,-0.518783182585259,0.8549058483053615,9.6695433
89663.42402230001,43146.7312091,0.0,0.0,0.0,-0.5661051524887797,0.8243330372644635,10.6267466
89665.3472822,43147.3959549,0.0,0.0,0.0,-0.5922970557034208,0.8057196769379898,11.11
89667.3639201,43147.9727553,0.0,0.0,0.0,-0.6091039267546757,0.7930904150297333,11.11
89669.2598763,43148.4766443,0.0,0.0,0.0,-0.606227403939317,0.7952913520924242,11.11
89671.1797489,43149.0309733,0.0,0.0,0.0,-0.5984493083918608,0.8011606738259832,11.11
89673.0372668,43149.6116762,0.0,0.0,0.0,-0.5727679506099105,0.819717557914995,10.822855
89674.8308116,43150.4708128,0.0,0.0,0.0,-0.4908927762069381,0.871219996480708,10.4759502
89676.452888,43151.7006298,0.0,0.0,0.0,-0.3951840029320225,0.9186019833565695,10.2657338
89677.7409453,43153.2141891,0.0,0.0,0.0,-0.2932065210258509,0.9560491284593681,10.1709175
89678.6828395,43154.9924896,0.0,0.0,0.0,-0.19578781608341633,0.9806462823430712,10.075209
89679.3102645,43156.819111799996,0.0,0.0,0.0,-0.13168535568322776,0.9912915651303514,10.8369103
89679.6978239,43158.7493586,0.0,0.0,0.0,-0.06595558681438528,0.9978225596607696,10.5206898
89679.7871045,43160.8125729,0.0,0.0,0.0,0.028186666336212658,0.9996026769876374,10.2786001
89679.47932350001,43162.7718541,0.0,0.0,0.0,0.12557098415615864,0.9920846374871721,10.1743466
